InvoiceNo,CustomerID,Gender,Age,Location,Category,ItemName,Quantity,UnitPrice,PaymentMethod,InvoiceDate,ReviewRating,SubscriptionStatus,DiscountApplied
INV54532,C10435,Female,41,California,Beauty & Personal Care,Perfume,3,77.45,Credit Card,2024-03-07 17:33:09,5.0,No,No
INV63739,C11031,Male,54,Illinois,Books,Sci-Fi Anthology,2,18.16,Cash,2024-03-07 17:33:20,3.5,No,Yes
INV55134,C11098,Male,53,Texas,Beauty & Personal Care,Lipstick,1,17.72,PayPal,2024-03-07 17:55:59,4.7,No,No
INV53278,C10969,Female,47,Florida,Beauty & Personal Care,Moisturizer,4,28.7,Credit Card,2024-03-07 18:44:35,2.9,Yes,No
INV55196,C11033,Female,62,Massachusetts,Home & Kitchen,Dinnerware Set,2,62.13,Credit Card,2024-03-07 19:03:53,3.8,No,Yes
INV61225,C10300,Male,22,New York,Home & Kitchen,Vacuum Cleaner,1,156.48,Credit Card,2024-03-07 20:20:54,3.8,Yes,No
INV50083,C10267,Male,44,California,Electronics,Bluetooth Speaker,3,77.45,Credit Card,2024-03-07 21:23:02,4.8,No,No
INV53037,C10483,Female,20,California,Electronics,Laptop,1,1106.96,Credit Card,2024-03-08 09:09:47,2.7,Yes,Yes
INV52144,C10813,Female,45,Massachusetts,Sports & Outdoors,Yoga Mat,3,28.9,Credit Card,2024-03-08 09:13:39,3.5,Yes,Yes
INV57854,C11040,Female,25,New York,Beauty & Personal Care,Lipstick,1,19.25,Debit Card,2024-03-08 10:37:49,5.0,Yes,Yes
INV54406,C10425,Female,30,California,Sports & Outdoors,Backpack,1,40.2,Credit Card,2024-03-08 11:02:13,3.5,No,No
INV50799,C10944,Female,73,Texas,Home & Kitchen,Toaster,1,34.45,Credit Card,2024-03-08 11:20:13,3.6,No,No
INV51466,C10861,Female,25,Illinois,Clothing,Jacket,1,118.19,Credit Card,2024-03-08 11:21:56,3.5,No,No
INV62158,C10105,Male,48,California,Beauty & Personal Care,Moisturizer,1,28.86,Debit Card,2024-03-08 11:38:54,3.9,No,Yes
INV53838,C10901,Female,50,Florida,Books,Self-Help Book,1,20.68,Credit Card,2024-03-08 12:01:37,3.0,No,No
INV58207,C10443,Male,19,Georgia,Electronics,Bluetooth Speaker,1,82.06,Cash,2024-03-08 12:27:44,4.0,Yes,No
INV63264,C10733,Female,24,California,Home & Kitchen,Air Fryer,1,123.99,Debit Card,2024-03-08 12:34:27,4.6,No,No
INV59199,C10500,Male,40,California,Home & Kitchen,Toaster,1,35.53,Credit Card,2024-03-08 12:41:10,4.7,Yes,Yes
INV59533,C10869,Male,32,Massachusetts,Clothing,Jeans,1,52.45,Debit Card,2024-03-08 12:53:46,2.6,No,No
INV55027,C10235,Female,24,Florida,Clothing,Jeans,1,56.03,Credit Card,2024-03-08 13:05:00,4.5,Yes,Yes
INV61729,C11111,Female,58,Florida,Home & Kitchen,Blender,1,44.32,Cash,2024-03-08 13:06:35,2.6,No,No
INV52149,C10683,Female,33,Florida,Electronics,Smartphone,1,678.67,Debit Card,2024-03-08 13:49:56,1.7,No,No
INV61292,C10693,Female,68,Colorado,Sports & Outdoors,Water Bottle,1,20.44,Credit Card,2024-03-08 13:59:10,4.7,No,No
INV54675,C10637,Male,34,Illinois,Home & Kitchen,Air Fryer,1,115.89,Debit Card,2024-03-08 14:17:32,4.6,Yes,No
INV57296,C10917,Male,48,Illinois,Beauty & Personal Care,Perfume,2,78.19,PayPal,2024-03-08 14:21:31,3.6,No,No
INV52558,C10967,Male,70,Texas,Sports & Outdoors,Backpack,2,40.88,Debit Card,2024-03-08 14:25:10,3.8,Yes,Yes
INV55686,C10676,Male,27,Ohio,Electronics,Smartphone,1,665.03,Credit Card,2024-03-08 14:53:01,4.8,No,No
INV50760,C10219,Male,26,Florida,Clothing,T-Shirt,2,25.4,PayPal,2024-03-08 14:57:51,4.9,No,No
INV58212,C10400,Female,31,New York,Clothing,Jacket,3,120.56,Credit Card,2024-03-08 15:23:41,4.8,No,No
INV52391,C10870,Female,58,Illinois,Books,Sci-Fi Anthology,1,17.43,Cash,2024-03-08 15:52:26,4.0,No,Yes
INV62537,C10924,Male,43,Texas,Clothing,Jeans,2,52.72,Debit Card,2024-03-08 16:21:15,4.9,No,No
INV63382,C11121,Male,27,Illinois,Clothing,T-Shirt,1,23.76,Debit Card,2024-03-08 16:35:16,3.6,Yes,No
INV63963,C10198,Non-Binary,35,New York,Home & Kitchen,Dinnerware Set,1,62.35,Credit Card,2024-03-08 16:40:31,4.9,No,No
INV62521,C10424,Female,38,New York,Sports & Outdoors,Yoga Mat,2,30.04,Credit Card,2024-03-08 17:01:16,3.6,No,No
INV53706,C10875,Female,60,Massachusetts,Beauty & Personal Care,Lipstick,2,19.35,Credit Card,2024-03-08 17:06:16,3.7,No,No
INV54455,C10751,Female,68,Illinois,Sports & Outdoors,Camping Tent,3,153.86,Credit Card,2024-03-08 18:22:14,4.6,No,No
INV53285,C11138,Female,60,Florida,Beauty & Personal Care,Perfume,1,74.65,Cash,2024-03-08 18:34:10,2.6,No,Yes
INV58573,C10600,Male,31,New York,Home & Kitchen,Dinnerware Set,4,62.45,Debit Card,2024-03-08 18:37:57,2.6,Yes,Yes
INV64865,C10771,Female,55,California,Books,Tech Guide,1,52.35,Credit Card,2024-03-08 18:44:27,5.0,No,No
INV56520,C10067,Female,40,California,Sports & Outdoors,Dumbbell Set,1,47.66,Credit Card,2024-03-08 18:46:23,3.9,No,No
INV62644,C10054,Male,25,New York,Sports & Outdoors,Backpack,1,39.05,Cash,2024-03-08 18:46:55,5.0,Yes,No
INV53020,C10323,Female,43,New York,Beauty & Personal Care,Perfume,5,71.51,Cash,2024-03-08 18:56:03,2.9,No,Yes
INV63369,C10966,Male,25,Texas,Electronics,Laptop,1,1103.22,PayPal,2024-03-08 18:56:29,3.5,No,No
INV61962,C11028,Male,22,Massachusetts,Books,Cookbook,2,29.15,Debit Card,2024-03-08 19:07:16,2.8,No,No
INV50527,C11030,Female,68,Florida,Home & Kitchen,Dinnerware Set,4,59.03,Cash,2024-03-08 19:17:47,4.5,No,No
INV58673,C10777,Male,31,Florida,Beauty & Personal Care,Hair Dryer,3,43.26,Debit Card,2024-03-08 19:44:30,3.8,Yes,Yes
INV60884,C11010,Male,19,California,Clothing,Jeans,3,55.59,PayPal,2024-03-08 19:54:20,2.5,No,No
INV61059,C10032,Male,22,New York,Clothing,T-Shirt,5,25.31,Credit Card,2024-03-08 19:59:37,4.0,Yes,Yes
INV59871,C10163,Female,74,Georgia,Sports & Outdoors,Water Bottle,1,20.47,Credit Card,2024-03-08 20:33:39,2.9,No,No
INV55474,C10864,Male,43,Florida,Clothing,Socks,1,10.42,Credit Card,2024-03-08 20:38:21,2.6,No,No
INV58033,C10316,Non-Binary,28,Illinois,Electronics,Tablet,1,336.32,Credit Card,2024-03-09 09:17:17,4.8,No,No
INV51375,C10786,Female,21,New York,Sports & Outdoors,Camping Tent,1,156.28,PayPal,2024-03-09 10:23:30,4.8,No,No
INV55807,C10847,Non-Binary,27,California,Home & Kitchen,Vacuum Cleaner,2,155.33,Credit Card,2024-03-09 10:29:48,3.6,No,No
INV57202,C10302,Female,29,Texas,Sports & Outdoors,Running Shoes,1,90.92,Credit Card,2024-03-09 10:33:47,4.9,No,No
INV64595,C10953,Male,26,Ohio,Sports & Outdoors,Dumbbell Set,1,52.44,Credit Card,2024-03-09 11:33:06,4.5,No,No
INV59787,C10200,Female,41,Florida,Clothing,Jacket,2,125.99,Credit Card,2024-03-09 11:40:49,4.9,No,No
INV59202,C10514,Female,22,Texas,Electronics,Smartwatch,1,192.47,Credit Card,2024-03-09 11:56:17,2.5,No,No
INV53362,C10716,Female,54,Ohio,Sports & Outdoors,Running Shoes,2,90.81,Credit Card,2024-03-09 11:58:55,4.7,Yes,Yes
INV58154,C10753,Male,24,Massachusetts,Electronics,Headphones,3,154.07,Credit Card,2024-03-09 13:34:10,4.7,No,No
INV54542,C10751,Female,68,Illinois,Books,Tech Guide,1,49.9,Credit Card,2024-03-09 13:38:59,3.7,No,No
INV52871,C10772,Female,28,Florida,Home & Kitchen,Coffee Maker,1,91.14,Debit Card,2024-03-09 14:31:32,4.8,No,No
INV57702,C10562,Female,22,Texas,Electronics,Laptop,2,1067.51,Credit Card,2024-03-09 15:18:59,1.7,No,No
INV59022,C10079,Male,28,California,Beauty & Personal Care,Hair Dryer,2,43.3,Cash,2024-03-09 15:34:27,4.9,No,No
INV55326,C10391,Male,36,New York,Electronics,Smartphone,1,725.08,Debit Card,2024-03-09 15:36:44,4.9,No,No
INV54248,C11171,Female,18,California,Electronics,Smartphone,2,713.93,Credit Card,2024-03-09 16:06:28,4.7,Yes,No
INV55608,C10289,Female,65,Georgia,Sports & Outdoors,Camping Tent,1,156.16,PayPal,2024-03-09 16:07:47,3.8,No,No
INV53360,C10602,Female,75,Florida,Books,Cookbook,1,30.47,Credit Card,2024-03-09 16:59:50,4.7,No,No
INV57331,C10641,Female,69,Georgia,Clothing,T-Shirt,1,25.3,Credit Card,2024-03-09 17:49:52,3.7,No,Yes
INV54316,C10397,Male,66,Washington,Books,Biography,1,23.02,Debit Card,2024-03-09 18:15:19,4.7,No,No
INV51867,C11089,Male,24,Illinois,Beauty & Personal Care,Moisturizer,1,28.38,PayPal,2024-03-09 18:18:58,5.0,No,No
INV61317,C10940,Male,27,Ohio,Clothing,Hoodie,1,44.32,PayPal,2024-03-09 18:49:47,4.6,No,No
INV53189,C10396,Male,41,Texas,Electronics,Bluetooth Speaker,2,80.16,Credit Card,2024-03-09 19:00:43,3.8,No,No
INV51898,C10182,Male,29,New York,Beauty & Personal Care,Moisturizer,1,28.87,PayPal,2024-03-09 19:54:54,3.6,No,No
INV58375,C10361,Male,46,Florida,Electronics,Headphones,1,146.24,Debit Card,2024-03-09 19:57:40,4.8,Yes,No
INV50428,C10390,Female,18,Washington,Clothing,Jacket,3,121.62,Credit Card,2024-03-09 21:10:43,4.9,No,No
INV58371,C10418,Female,20,Ohio,Clothing,Socks,1,9.89,Debit Card,2024-03-09 21:35:17,4.7,No,No
INV51486,C10494,Male,20,New York,Clothing,Sneakers,2,85.55,Credit Card,2024-03-09 21:51:27,3.8,No,No
INV53865,C11050,Female,25,Colorado,Sports & Outdoors,Water Bottle,1,20.48,Credit Card,2024-03-10 09:12:36,1.0,No,No
INV56788,C10194,Female,37,Washington,Home & Kitchen,Air Fryer,1,119.05,Cash,2024-03-10 09:34:02,5.0,No,Yes
INV50561,C10064,Non-Binary,22,California,Beauty & Personal Care,Moisturizer,1,26.65,PayPal,2024-03-10 09:56:08,3.0,Yes,Yes
INV51398,C10196,Female,39,New York,Sports & Outdoors,Yoga Mat,2,28.93,Credit Card,2024-03-10 11:07:45,4.6,No,No
INV64764,C10707,Non-Binary,38,Georgia,Clothing,Sneakers,1,89.22,Credit Card,2024-03-10 11:28:37,3.7,Yes,No
INV55065,C10722,Male,26,New York,Electronics,Smartwatch,4,203.3,PayPal,2024-03-10 12:31:26,2.7,No,No
INV61710,C10802,Female,41,Texas,Clothing,Socks,1,10.08,Credit Card,2024-03-10 13:01:08,2.9,No,Yes
INV58814,C10704,Male,44,California,Sports & Outdoors,Running Shoes,2,92.02,Credit Card,2024-03-10 13:41:33,4.9,No,No
INV57890,C10889,Male,39,Texas,Home & Kitchen,Blender,2,44.96,Cash,2024-03-10 14:54:48,2.7,Yes,No
INV50610,C10262,Female,29,California,Electronics,Smartwatch,1,196.5,Credit Card,2024-03-10 15:14:22,4.9,No,No
INV58749,C10501,Male,34,Massachusetts,Electronics,Smartphone,1,664.74,Credit Card,2024-03-10 15:38:36,4.9,No,Yes
INV60018,C11039,Male,43,California,Sports & Outdoors,Backpack,1,39.9,Credit Card,2024-03-10 16:54:12,5.0,No,No
INV61748,C10463,Female,23,New York,Clothing,T-Shirt,3,26.19,Credit Card,2024-03-10 17:37:59,4.8,Yes,No
INV62580,C10945,Male,34,Texas,Books,Fiction Novel,1,14.76,Credit Card,2024-03-10 18:18:10,1.6,Yes,No
INV62196,C10368,Male,33,Florida,Clothing,Socks,1,10.14,Credit Card,2024-03-10 18:50:57,4.8,No,Yes
INV52286,C10469,Female,36,California,Books,Cookbook,1,28.86,Credit Card,2024-03-10 19:03:21,4.5,Yes,Yes
INV52150,C10275,Male,50,California,Clothing,Hoodie,1,42.76,Credit Card,2024-03-10 19:27:56,4.5,No,Yes
INV63488,C10452,Female,18,Massachusetts,Beauty & Personal Care,Moisturizer,1,27.85,Credit Card,2024-03-10 19:47:26,3.7,Yes,Yes
INV55799,C10280,Male,30,New York,Beauty & Personal Care,Moisturizer,1,27.49,Credit Card,2024-03-10 20:47:08,4.8,No,No
INV53441,C10724,Male,29,Florida,Electronics,Smartphone,3,717.67,Credit Card,2024-03-11 09:48:19,4.7,Yes,Yes
INV57752,C11033,Female,62,Massachusetts,Beauty & Personal Care,Shampoo,1,11.55,Debit Card,2024-03-11 11:01:21,3.6,No,No
INV55655,C10342,Male,62,Washington,Sports & Outdoors,Water Bottle,1,20.68,PayPal,2024-03-11 11:15:31,3.7,No,Yes
INV62019,C10991,Female,22,New York,Beauty & Personal Care,Skincare Kit,2,60.85,PayPal,2024-03-11 12:35:45,4.7,No,No
INV51227,C10601,Female,75,Texas,Sports & Outdoors,Yoga Mat,1,28.78,Credit Card,2024-03-11 12:39:43,4.9,No,Yes
INV51359,C10221,Female,27,Colorado,Electronics,Smartwatch,1,198.78,Debit Card,2024-03-11 12:42:42,3.5,No,No
INV57918,C11197,Female,47,Texas,Electronics,Bluetooth Speaker,1,82.38,Credit Card,2024-03-11 13:12:48,4.7,No,No
INV50293,C10935,Male,50,Texas,Home & Kitchen,Air Fryer,1,117.05,Cash,2024-03-11 14:54:51,4.7,No,No
INV50252,C10929,Female,31,Ohio,Clothing,T-Shirt,1,25.58,Credit Card,2024-03-11 15:52:39,3.9,No,No
INV50936,C10089,Female,61,California,Books,Fiction Novel,4,14.65,PayPal,2024-03-11 16:28:13,5.0,No,No
INV54099,C11178,Female,40,Massachusetts,Sports & Outdoors,Backpack,1,39.44,Credit Card,2024-03-11 16:51:44,2.7,No,No
INV57798,C10092,Female,39,Ohio,Sports & Outdoors,Backpack,3,40.62,Debit Card,2024-03-11 17:04:22,4.9,No,No
INV50630,C10115,Male,55,Colorado,Home & Kitchen,Dinnerware Set,5,60.12,PayPal,2024-03-11 17:28:55,1.7,No,No
INV50864,C10787,Female,46,Florida,Electronics,Smartwatch,2,189.63,Cash,2024-03-11 18:00:49,2.9,No,Yes
INV52125,C10484,Male,37,New York,Home & Kitchen,Air Fryer,1,116.22,Debit Card,2024-03-11 18:24:55,2.9,No,No
INV56692,C10805,Female,35,Colorado,Beauty & Personal Care,Hair Dryer,2,46.14,PayPal,2024-03-11 18:59:24,3.9,No,No
INV63808,C10678,Male,45,California,Books,Sci-Fi Anthology,3,18.85,Credit Card,2024-03-11 19:59:09,2.9,No,No
INV60299,C10721,Male,31,Georgia,Books,Fiction Novel,1,14.88,Credit Card,2024-03-11 20:28:06,3.6,No,No
INV57006,C10506,Female,35,Illinois,Books,Biography,2,23.59,Credit Card,2024-03-11 21:53:31,3.6,No,No
INV54740,C10988,Male,65,Ohio,Home & Kitchen,Air Fryer,1,114.33,Cash,2024-03-12 09:16:14,3.8,No,No
INV62033,C10454,Non-Binary,39,Texas,Sports & Outdoors,Running Shoes,1,96.5,Credit Card,2024-03-12 10:01:08,2.6,No,No
INV63098,C10532,Male,37,Texas,Books,Tech Guide,1,52.34,Debit Card,2024-03-12 11:59:03,3.7,No,No
INV64868,C11177,Female,44,California,Clothing,Jacket,2,121.53,Credit Card,2024-03-12 12:19:46,3.6,No,No
INV51734,C11166,Male,63,Texas,Beauty & Personal Care,Lipstick,2,18.61,Debit Card,2024-03-12 12:25:46,4.6,Yes,No
INV54637,C11034,Male,61,Colorado,Beauty & Personal Care,Moisturizer,1,27.51,Credit Card,2024-03-12 12:36:14,4.8,Yes,No
INV63057,C10637,Male,34,Illinois,Clothing,Sneakers,2,83.34,Credit Card,2024-03-12 12:37:43,4.7,Yes,No
INV54468,C10244,Male,52,California,Sports & Outdoors,Water Bottle,3,19.66,Debit Card,2024-03-12 12:41:35,4.7,No,No
INV50701,C10339,Female,48,California,Electronics,Headphones,1,147.02,Credit Card,2024-03-12 13:10:02,2.9,Yes,Yes
INV61954,C11168,Male,63,Texas,Home & Kitchen,Blender,4,44.91,PayPal,2024-03-12 13:25:32,4.7,No,No
INV50337,C10536,Male,22,New York,Home & Kitchen,Toaster,2,36.46,Debit Card,2024-03-12 13:29:09,3.9,No,No
INV51439,C10444,Male,58,Massachusetts,Beauty & Personal Care,Hair Dryer,1,44.57,Debit Card,2024-03-12 14:25:06,1.9,No,No
INV63261,C11014,Female,26,Florida,Clothing,Hoodie,1,47.12,Credit Card,2024-03-12 14:51:13,3.7,No,No
INV58350,C11046,Non-Binary,43,New York,Home & Kitchen,Dinnerware Set,4,61.88,Credit Card,2024-03-12 14:56:04,4.9,Yes,Yes
INV62790,C10799,Male,36,Texas,Electronics,Tablet,1,344.07,Debit Card,2024-03-12 17:35:57,1.0,No,No
INV56227,C10515,Female,31,Washington,Electronics,Headphones,1,150.86,Credit Card,2024-03-12 17:46:22,4.8,No,No
INV59597,C10054,Male,25,New York,Sports & Outdoors,Yoga Mat,1,30.14,Debit Card,2024-03-12 18:20:08,4.8,Yes,No
INV55342,C11106,Male,19,New York,Electronics,Smartwatch,1,195.9,Credit Card,2024-03-12 19:39:40,3.7,No,No
INV57550,C10260,Male,24,Washington,Home & Kitchen,Vacuum Cleaner,1,145.59,Debit Card,2024-03-12 20:25:14,4.9,Yes,No
INV60260,C10232,Female,52,California,Home & Kitchen,Toaster,2,36.27,Credit Card,2024-03-12 20:28:59,3.9,No,No
INV51282,C10710,Male,31,New York,Home & Kitchen,Dinnerware Set,3,58.25,Credit Card,2024-03-12 20:30:11,1.9,No,No
INV59244,C10462,Female,71,Florida,Books,Self-Help Book,1,20.9,Credit Card,2024-03-12 21:04:01,3.8,No,No
INV61848,C10690,Female,34,Ohio,Beauty & Personal Care,Perfume,2,78.46,Cash,2024-03-13 13:01:16,3.6,No,No
INV57437,C10859,Female,38,Georgia,Clothing,Jeans,2,52.91,Credit Card,2024-03-13 13:06:56,4.8,No,No
INV63407,C10141,Female,38,California,Clothing,Hoodie,1,44.05,Debit Card,2024-03-13 13:30:59,3.7,Yes,Yes
INV57188,C10364,Female,34,Georgia,Electronics,Headphones,2,143.55,Credit Card,2024-03-13 15:12:03,4.0,Yes,No
INV55378,C10477,Male,42,Massachusetts,Beauty & Personal Care,Moisturizer,1,28.89,PayPal,2024-03-13 15:13:13,3.9,Yes,Yes
INV56025,C10073,Male,60,New York,Home & Kitchen,Dinnerware Set,2,58.45,Credit Card,2024-03-13 15:37:59,3.7,No,No
INV55523,C10551,Non-Binary,47,Florida,Electronics,Headphones,1,147.69,Credit Card,2024-03-13 18:04:26,4.7,Yes,No
INV52459,C10792,Female,39,Ohio,Books,Self-Help Book,3,19.53,Credit Card,2024-03-13 18:11:14,3.7,Yes,No
INV59254,C11008,Male,56,California,Beauty & Personal Care,Lipstick,3,18.81,Debit Card,2024-03-13 20:40:48,3.7,Yes,No
INV64555,C10912,Female,21,California,Beauty & Personal Care,Skincare Kit,1,61.74,Debit Card,2024-03-13 20:46:24,2.6,No,No
INV62223,C10151,Male,62,Texas,Books,Tech Guide,2,50.14,Credit Card,2024-03-13 21:52:09,4.0,No,No
INV53315,C10955,Male,18,California,Electronics,Smartwatch,1,198.76,PayPal,2024-03-14 09:41:24,4.0,No,No
INV50757,C10853,Female,18,Ohio,Sports & Outdoors,Backpack,2,39.61,Debit Card,2024-03-14 09:43:20,4.6,Yes,Yes
INV50548,C10511,Female,44,New York,Sports & Outdoors,Dumbbell Set,2,49.82,Credit Card,2024-03-14 10:31:55,3.6,Yes,Yes
INV59160,C10694,Male,21,New York,Electronics,Smartwatch,1,200.56,Debit Card,2024-03-14 11:05:20,3.6,Yes,Yes
INV51816,C10966,Male,25,Texas,Clothing,Jeans,1,54.13,Cash,2024-03-14 11:36:17,4.7,No,No
INV64085,C10666,Male,29,Florida,Beauty & Personal Care,Perfume,1,74.25,Debit Card,2024-03-14 12:59:52,3.7,Yes,Yes
INV53937,C10817,Male,64,California,Books,Self-Help Book,1,20.13,PayPal,2024-03-14 13:20:59,2.7,No,Yes
INV62881,C10711,Female,43,California,Sports & Outdoors,Water Bottle,1,19.16,PayPal,2024-03-14 14:36:46,4.0,Yes,No
INV51441,C10867,Female,41,Washington,Electronics,Headphones,1,141.92,Credit Card,2024-03-14 16:46:30,4.5,No,Yes
INV53299,C10173,Male,38,Ohio,Sports & Outdoors,Water Bottle,2,20.33,Credit Card,2024-03-14 16:56:36,4.7,No,Yes
INV58362,C11033,Female,62,Massachusetts,Books,Sci-Fi Anthology,1,17.89,Cash,2024-03-14 20:00:32,4.9,No,No
INV63599,C10461,Female,18,Ohio,Clothing,Hoodie,1,43.99,Credit Card,2024-03-14 20:14:38,3.8,Yes,Yes
INV64773,C10408,Male,63,Texas,Home & Kitchen,Dinnerware Set,4,60.35,Debit Card,2024-03-14 20:54:06,4.9,No,No
INV56857,C11121,Male,27,Illinois,Sports & Outdoors,Camping Tent,2,150.63,PayPal,2024-03-14 21:02:52,1.0,Yes,Yes
INV54695,C10492,Female,38,Georgia,Home & Kitchen,Vacuum Cleaner,4,146.23,Credit Card,2024-03-15 09:52:58,4.8,No,No
INV51682,C10251,Female,21,Illinois,Clothing,Hoodie,1,44.52,Credit Card,2024-03-15 11:12:31,3.5,Yes,Yes
INV62443,C10328,Male,37,California,Electronics,Smartwatch,2,189.46,Credit Card,2024-03-15 11:18:45,4.6,No,No
INV60466,C10854,Male,60,Florida,Sports & Outdoors,Water Bottle,1,20.91,PayPal,2024-03-15 11:32:48,3.6,Yes,No
INV64084,C10033,Female,48,New York,Home & Kitchen,Blender,1,43.92,PayPal,2024-03-15 11:37:27,2.8,Yes,Yes
INV58018,C10441,Female,27,Illinois,Beauty & Personal Care,Perfume,2,71.47,Credit Card,2024-03-15 12:25:34,1.8,No,No
INV56020,C10521,Male,30,California,Clothing,Hoodie,1,43.54,Credit Card,2024-03-15 12:44:34,4.0,No,Yes
INV61860,C10067,Female,40,California,Clothing,Socks,1,9.52,Cash,2024-03-15 12:59:15,4.9,No,No
INV55948,C10185,Male,47,Illinois,Home & Kitchen,Air Fryer,2,114.16,Credit Card,2024-03-15 13:23:36,3.8,Yes,No
INV59967,C10421,Male,37,Massachusetts,Clothing,Jeans,2,52.72,Credit Card,2024-03-15 14:04:57,4.6,Yes,Yes
INV60493,C10274,Female,23,Illinois,Clothing,Jeans,3,52.51,Credit Card,2024-03-15 14:35:35,4.9,Yes,No
INV57314,C10314,Female,19,Washington,Electronics,Bluetooth Speaker,1,81.24,Debit Card,2024-03-15 15:21:17,4.0,No,No
INV63460,C10485,Female,30,Texas,Clothing,Jacket,2,115.4,Credit Card,2024-03-15 15:35:50,4.9,Yes,No
INV52162,C10397,Male,66,Washington,Home & Kitchen,Vacuum Cleaner,1,146.46,Debit Card,2024-03-15 16:15:51,4.9,No,No
INV64848,C10876,Female,37,California,Electronics,Headphones,1,146.21,Debit Card,2024-03-15 16:37:45,3.7,No,Yes
INV54332,C10064,Non-Binary,22,California,Sports & Outdoors,Camping Tent,3,144.72,Credit Card,2024-03-15 16:50:36,4.7,Yes,No
INV51322,C10534,Female,74,Texas,Books,Tech Guide,2,49.39,Debit Card,2024-03-15 17:05:51,3.8,No,No
INV50240,C10740,Male,23,Texas,Clothing,Sneakers,1,86.75,Debit Card,2024-03-15 17:08:14,3.9,Yes,No
INV59862,C11063,Male,36,Massachusetts,Books,Cookbook,1,31.03,Credit Card,2024-03-15 17:11:04,2.8,No,No
INV51507,C10759,Female,46,California,Books,Fiction Novel,2,14.88,Credit Card,2024-03-15 17:15:34,3.7,Yes,No
INV58527,C11179,Female,55,Texas,Clothing,Sneakers,5,86.9,Cash,2024-03-15 17:40:17,4.8,No,No
INV62615,C11117,Male,26,New York,Clothing,Socks,2,9.65,Credit Card,2024-03-15 18:49:56,3.7,No,No
INV57293,C11167,Female,31,Washington,Sports & Outdoors,Backpack,2,38.09,Credit Card,2024-03-15 19:32:35,4.5,Yes,Yes
INV55857,C10290,Male,45,California,Home & Kitchen,Coffee Maker,1,86.42,Credit Card,2024-03-15 19:39:47,3.0,No,Yes
INV52403,C10359,Non-Binary,23,Ohio,Sports & Outdoors,Running Shoes,4,97.09,Credit Card,2024-03-15 19:44:29,1.8,No,No
INV63961,C10412,Male,63,Washington,Home & Kitchen,Vacuum Cleaner,1,156.64,Credit Card,2024-03-15 21:12:12,3.8,No,No
INV50030,C10150,Male,46,Massachusetts,Beauty & Personal Care,Perfume,2,76.76,Debit Card,2024-03-15 21:40:02,3.9,No,No
INV62381,C11085,Female,32,Illinois,Electronics,Headphones,3,151.56,Debit Card,2024-03-16 09:07:16,1.5,No,No
INV62416,C10357,Male,72,Florida,Clothing,T-Shirt,2,23.99,Debit Card,2024-03-16 09:28:59,3.5,Yes,Yes
INV63652,C10092,Female,39,Ohio,Clothing,Socks,1,9.95,Credit Card,2024-03-16 09:42:05,3.6,No,No
INV52833,C10550,Female,45,California,Home & Kitchen,Toaster,2,35.13,Debit Card,2024-03-16 10:48:51,4.7,No,No
INV61865,C10265,Female,22,Florida,Clothing,Hoodie,1,47.08,PayPal,2024-03-16 10:49:23,3.5,No,No
INV56107,C11042,Male,41,Florida,Books,Fiction Novel,1,15.67,Cash,2024-03-16 10:51:10,1.0,No,No
INV63214,C10231,Male,35,Texas,Beauty & Personal Care,Moisturizer,1,27.59,Debit Card,2024-03-16 11:17:34,4.9,Yes,Yes
INV55664,C10989,Female,45,Texas,Home & Kitchen,Blender,1,43.25,Debit Card,2024-03-16 11:54:02,4.5,Yes,Yes
INV60470,C10701,Female,50,Texas,Clothing,Sneakers,2,84.19,Credit Card,2024-03-16 12:36:01,3.7,No,No
INV57152,C11085,Female,32,Illinois,Beauty & Personal Care,Lipstick,1,18.35,Cash,2024-03-16 12:51:25,4.9,No,No
INV58689,C10062,Female,50,California,Sports & Outdoors,Running Shoes,1,97.73,Credit Card,2024-03-16 13:28:34,3.8,No,No
INV57494,C10403,Male,33,Florida,Home & Kitchen,Vacuum Cleaner,1,144.3,Debit Card,2024-03-16 14:01:35,3.8,No,No
INV55581,C10261,Male,18,California,Books,Cookbook,1,29.99,Credit Card,2024-03-16 14:01:41,4.9,Yes,Yes
INV51632,C10458,Female,20,California,Electronics,Smartphone,1,706.93,Debit Card,2024-03-16 14:07:12,4.8,No,No
INV61460,C10937,Female,55,Illinois,Home & Kitchen,Coffee Maker,1,87.75,PayPal,2024-03-16 14:23:25,4.9,No,No
INV56223,C10275,Male,50,California,Electronics,Bluetooth Speaker,1,76.46,Credit Card,2024-03-16 14:40:02,4.6,No,No
INV53065,C10782,Male,56,Washington,Books,Biography,1,22.12,Credit Card,2024-03-16 15:12:13,3.8,No,No
INV57906,C10299,Male,19,Massachusetts,Electronics,Smartwatch,3,205.75,Cash,2024-03-16 15:30:41,4.9,Yes,Yes
INV52134,C10857,Female,20,Colorado,Home & Kitchen,Toaster,2,33.74,Credit Card,2024-03-16 15:47:06,4.7,Yes,Yes
INV51302,C11010,Male,19,California,Clothing,T-Shirt,5,24.75,Credit Card,2024-03-16 15:48:14,4.6,No,No
INV54199,C10640,Female,19,New York,Clothing,Jeans,1,55.18,Debit Card,2024-03-16 16:27:37,4.6,No,No
INV63360,C10287,Male,45,California,Electronics,Smartphone,1,699.93,PayPal,2024-03-16 16:43:37,3.8,No,No
